name,category,level,damage,autoAttack,delay,isUnique,isTradeable,Strength,Vitality,CriticalHit,Determination,Tenacity,SkillSpeed,DirectHitRate,Dexterity,Intelligence,SpellSpeed,Mind,Piety
Edenmorn Bastard Sword,Gladiator's Arm,535,134.0,100.05,2.24,1,0,518.0,597.0,379.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Cryptlurker's Sword,Gladiator's Arm,530,133.0,99.3,2.24,1,0,516.0,593.0,263.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond Zeta Bastard Sword,Gladiator's Arm,525,132.0,98.56,2.24,1,0,503.0,574.0,372.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryptlurker's Sword,Gladiator's Arm,520,131.0,97.81,2.24,1,0,490.0,556.0,258.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Exarchic Sword,Gladiator's Arm,520,118.0,88.1,2.24,0,0,441.0,500.0,0.0,232.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Law's Order Bastard Sword,Gladiator's Arm,515,130.0,97.06,2.24,1,0,477.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emerald Bastard Sword,Gladiator's Arm,515,130.0,97.06,2.24,1,0,477.0,539.0,364.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law's Order Bastard Sword,Gladiator's Arm,510,129.0,96.32,2.24,1,0,465.0,521.0,0.0,360.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exarchic Sword,Gladiator's Arm,510,116.0,86.61,2.24,0,1,419.0,469.0,0.0,227.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edenchoir Bastard Sword,Gladiator's Arm,505,128.0,95.57,2.24,1,0,453.0,505.0,356.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honorbound Recollection,Gladiator's Arm,500,127.0,94.82,2.24,1,0,441.0,489.0,0.0,246.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Honorbound,Gladiator's Arm,500,127.0,94.82,2.24,1,0,441.0,489.0,0.0,246.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Crystarium Sword,Gladiator's Arm,500,127.0,94.82,2.24,1,0,441.0,489.0,0.0,351.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sword of Light,Gladiator's Arm,495,126.0,94.08,2.24,1,0,430.0,474.0,244.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystarium Sword,Gladiator's Arm,490,125.0,93.33,2.24,1,0,419.0,459.0,0.0,344.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Neo-Ishgardian Sword,Gladiator's Arm,490,112.0,83.62,2.24,0,0,377.0,413.0,310.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honorbound,Gladiator's Arm,485,124.0,92.58,2.24,1,0,409.0,445.0,0.0,239.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby Broadsword,Gladiator's Arm,485,124.0,92.58,2.24,1,0,409.0,445.0,341.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neo-Ishgardian Sword,Gladiator's Arm,480,111.0,82.88,2.24,0,1,359.0,388.0,303.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edengrace Bastard Sword,Gladiator's Arm,475,122.0,91.09,2.24,1,0,389.0,418.0,234.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultimate Almace,Gladiator's Arm,475,122.0,91.09,2.24,1,0,389.0,418.0,234.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Deepshadow Sword,Gladiator's Arm,470,121.0,90.34,2.24,1,0,379.0,404.0,330.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misos,Gladiator's Arm,465,120.0,89.6,2.24,1,0,369.0,391.0,0.0,325.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepshadow Sword,Gladiator's Arm,460,119.0,88.85,2.24,1,0,359.0,378.0,320.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Sinfender,Gladiator's Arm,460,107.0,79.89,2.24,0,0,323.0,340.0,0.0,202.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The King's Sword,Gladiator's Arm,450,117.0,87.36,2.24,1,0,340.0,353.0,310.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinfender,Gladiator's Arm,450,105.0,78.4,2.24,0,1,306.0,318.0,0.0,195.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weathered Sequence,Gladiator's Arm,430,114.0,85.12,2.24,1,0,312.0,328.0,0.0,206.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Misos,Gladiator's Arm,430,103.0,76.9,2.24,0,1,281.0,295.0,0.0,266.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sword of the Forgiven,Gladiator's Arm,418,112.0,83.62,2.24,1,0,301.0,326.0,0.0,285.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
